invoice_date,charge_type,name,charge,rate,usage,cost
2025-July,Services,task-28-a,Free,$0.0000/hr,94.99,$0.00
2025-July,Services,task-30,Free,$0.0000/hr,45.42,$0.00
2025-July,Services,task-31,Free,$0.0000/hr,44.71,$0.00
2025-July,Services,task-32,Free,$0.0000/hr,42.81,$0.00
2025-July,Services,task-33,Free,$0.0000/hr,25.33,$0.00
2025-July,Services,task-34,Free,$0.0000/hr,24.08,$0.00
2025-July,Services,task-35,Free,$0.0000/hr,23.55,$0.00
2025-July,Services,task-36,Free,$0.0000/hr,23.08,$0.00
2025-July,Services,task-28-a,Free,$0.0000/hr,14.83,$0.00
2025-July,Pipeline Minutes,Build: Starter,Starter,"$5/1,000 minutes",0 minutes,$0.00
